id,countryId,type,labelKo,labelLocal,labelEn,sensitivityLevel,aliases,sourceRefs,metadata
mmr-rohingya-rakhine,myanmar,SensitiveEvent,로힝야·라카인 인권 위기,ရိုဟင်ဂျာ,Rohingya / Rakhine crisis,high,"[""로힝야·라카인 인권 위기"", ""Rohingya / Rakhine crisis"", ""ရိုဟင်ဂျာ"", ""Rohingya"", ""Rakhine""]","[""myanmar_rohingya""]","{""dates"": [], ""eventType"": [""ethnic_conflict"", ""human_rights"", ""refugee_crisis""], ""reviewPolicy"": ""로힝야·라카인·난민 표현을 금융상품 조롱·고정관념·프로모션으로 사용하면 high/hold""}"
mmr-8888-uprising,myanmar,SensitiveEvent,8888 민주화 항쟁,၈၈၈၈ အရေးအခင်း,8888 Uprising,high,"[""8888 민주화 항쟁"", ""8888 Uprising"", ""၈၈၈၈ အရေးအခင်း"", ""8888"", ""pro-democracy""]","[""myanmar_coup_overview""]","{""dates"": [""08-08""], ""eventType"": [""democracy_movement"", ""state_violence"", ""memorial""], ""reviewPolicy"": ""8888·민주화·진압 표현을 금융 프로모션과 결합하면 high/hold""}"
mmr-thingyan,myanmar,SensitiveEvent,띤잔·미얀마 신년 물축제,သင်္ကြန်,Thingyan Water Festival,info,"[""띤잔·미얀마 신년 물축제"", ""Thingyan Water Festival"", ""သင်္ကြန်"", ""water festival"", ""new year""]","[""myanmar_coup_overview""]","{""dates"": [""myanmar-new-year""], ""eventType"": [""new_year"", ""water_festival"", ""buddhist_cultural_holiday""], ""reviewPolicy"": ""명절 프로모션은 가능하나 종교·정치·군부 폭력 문맥과 결합 시 주의""}"
mmr-buddhism-sacred,myanmar,SensitiveEvent,미얀마 불교·파고다 상징,ဗုဒ္ဓဘာသာ,Myanmar Buddhism / pagoda,caution,"[""미얀마 불교·파고다 상징"", ""Myanmar Buddhism / pagoda"", ""ဗုဒ္ဓဘာသာ"", ""Buddhism"", ""monks""]","[""myanmar_coup_overview""]","{""dates"": [], ""eventType"": [""religion"", ""sacred_symbol""], ""reviewPolicy"": ""승려·불상·파고다를 금융상품 캐릭터·할인 밈으로 사용하면 hold""}"
chn-prc-national-day,china,SensitiveEvent,중국 국경절,国庆节,PRC National Day,caution,"[""중국 국경절"", ""PRC National Day"", ""国庆节"", ""National Day"", ""Golden Week""]","[""china_national_day""]","{""dates"": [""10-01""], ""eventType"": [""national_day"", ""sovereignty"", ""patriotism""], ""reviewPolicy"": ""국기·국경절·천안문 광장 상징은 존중 맥락만 사용; 조롱·정치 풍자·지도 오류와 결합 시 high/hold""}"
chn-taiwan-sovereignty,china,SensitiveEvent,대만·중국 주권 민감성,台湾,Taiwan / One-China sensitivity,high,"[""대만·중국 주권 민감성"", ""Taiwan / One-China sensitivity"", ""台湾"", ""Taiwan"", ""Chinese Taipei""]","[""china_taiwan_flag_reuters"", ""china_taiwan_restoration_ap""]","{""dates"": [""10-10"", ""10-25""], ""eventType"": [""sovereignty"", ""cross_strait"", ""territorial_sensitivity""], ""reviewPolicy"": ""국가 목록·지도·국기·대만 표기 오류는 중화권 금융 마케팅에서 high/hold""}"
chn-hk-tibet-xinjiang,china,SensitiveEvent,홍콩·티베트·신장 정치 민감 이슈,香港 / 西藏 / 新疆,Hong Kong / Tibet / Xinjiang sensitivity,high,"[""홍콩·티베트·신장 정치 민감 이슈"", ""Hong Kong / Tibet / Xinjiang sensitivity"", ""香港 / 西藏 / 新疆"", ""Hong Kong"", ""Tibet""]","[""china_tibet_xinjiang_hk_reuters""]","{""dates"": [], ""eventType"": [""political_sensitivity"", ""autonomy"", ""ethnic_religious_sensitivity""], ""reviewPolicy"": ""해당 지명·상징·정치 슬로건을 금융 프로모션·지도·국가 목록에 부정확하게 사용하면 high/hold""}"
chn-tiananmen-june4,china,SensitiveEvent,천안문 6·4 사건,天安门 / 六四,Tiananmen / June Fourth,high,"[""천안문 6·4 사건"", ""Tiananmen / June Fourth"", ""天安门 / 六四"", ""Tiananmen"", ""June Fourth""]","[""china_tibet_xinjiang_hk_reuters""]","{""dates"": [""06-04""], ""eventType"": [""political_memory"", ""state_violence"", ""censorship_sensitive""], ""reviewPolicy"": ""천안문·6/4·탱크맨 표현을 금융 프로모션 은유로 쓰면 high/hold""}"
chn-lunar-new-year,china,SensitiveEvent,춘절·중국 설,春节,Chinese New Year / Spring Festival,info,"[""춘절·중국 설"", ""Chinese New Year / Spring Festival"", ""春节"", ""Spring Festival"", ""red envelope""]","[""china_national_day""]","{""dates"": [""lunar-new-year""], ""eventType"": [""family_holiday"", ""national_holiday""], ""reviewPolicy"": ""춘절 마케팅은 가능하나 도박·빈곤·국가 상징 조롱과 결합 시 caution""}"
tha-monarchy-article112,thailand,SensitiveEvent,태국 왕실·왕실모독법 민감성,สถาบันพระมหากษัตริย์ / มาตรา 112,Thai monarchy / Article 112,high,"[""태국 왕실·왕실모독법 민감성"", ""Thai monarchy / Article 112"", ""สถาบันพระมหากษัตริย์ / มาตรา 112"", ""royal family"", ""Article 112""]","[""thailand_lese_majeste_reuters"", ""thailand_lese_majeste_guardian""]","{""dates"": [], ""eventType"": [""monarchy"", ""legal_sensitivity"", ""national_institution""], ""reviewPolicy"": ""왕실·국왕 이미지·왕실 문장을 금융 혜택/밈/조롱에 사용하면 high/hold""}"
tha-buddhism-sacred,thailand,SensitiveEvent,태국 불교·사원·불상 상징,พุทธศาสนา,Thai Buddhism / sacred symbols,high,"[""태국 불교·사원·불상 상징"", ""Thai Buddhism / sacred symbols"", ""พุทธศาสนา"", ""Buddha"", ""monks""]","[""thailand_lese_majeste_guardian""]","{""dates"": [], ""eventType"": [""religion"", ""sacred_symbol""], ""reviewPolicy"": ""불상·승려·사원 상징을 금융상품 캐릭터·캐시백 밈으로 쓰면 hold""}"
tha-songkran,thailand,SensitiveEvent,송끄란·태국 설 물축제,สงกรานต์,Songkran / Thai New Year,info,"[""송끄란·태국 설 물축제"", ""Songkran / Thai New Year"", ""สงกรานต์"", ""water festival"", ""Thai New Year""]","[""thailand_lese_majeste_guardian""]","{""dates"": [""04-13"", ""04-14"", ""04-15""], ""eventType"": [""new_year"", ""water_festival"", ""family_holiday""], ""reviewPolicy"": ""송끄란 금융 프로모션은 가능하나 불교·왕실·사고/음주운전 비하와 결합 시 caution/hold""}"
tha-2014-coup-2020-protest,thailand,SensitiveEvent,태국 군부 쿠데타·민주화 시위 상징,ชูสามนิ้ว,Thai coup / pro-democracy protest symbols,high,"[""태국 군부 쿠데타·민주화 시위 상징"", ""Thai coup / pro-democracy protest symbols"", ""ชูสามนิ้ว"", ""2014 coup"", ""2020 protests""]","[""three_finger_salute"", ""thailand_lese_majeste_reuters""]","{""dates"": [""05-22""], ""eventType"": [""political_protest"", ""military_coup"", ""democracy_movement""], ""reviewPolicy"": ""쿠데타·시위·색깔 정치 상징을 금융 프로모션에 쓰면 high/hold""}"
tha-royal-days,thailand,SensitiveEvent,왕실 관련 기념일,วันเฉลิมพระชนมพรรษา,Royal-related memorial/birthday days,caution,"[""왕실 관련 기념일"", ""Royal-related memorial/birthday days"", ""วันเฉลิมพระชนมพรรษา"", ""King's Birthday"", ""Former King's Birthday""]","[""thailand_lese_majeste_reuters""]","{""dates"": [""07-28"", ""12-05"", ""10-13""], ""eventType"": [""royal_day"", ""national_emotion""], ""reviewPolicy"": ""왕실 기념일에는 존중 문맥만 허용; 할인/농담/이미지 변형은 high/hold""}"
khm-term-killing-fields,cambodia,SensitiveTerm,킬링필드,វាលពិឃាត,Killing Fields,high,"[""킬링필드"", ""Killing Fields"", ""killing field""]","[""cambodia_genocide""]","{""termType"": ""genocide_memory"", ""unsafeContexts"": [""할인"", ""세일"", ""금리"", ""수익률"", ""cashback"", ""game""], ""safeContexts"": [""역사교육"", ""추모"", ""보도""]}"
khm-term-tuol-sleng,cambodia,SensitiveTerm,뚜얼슬랭·S-21,ទួលស្លែង,Tuol Sleng / S-21,high,"[""뚜얼슬랭"", ""Tuol Sleng"", ""S-21"", ""Security Prison 21""]","[""cambodia_memorial_sites_reuters""]","{""termType"": ""genocide_site"", ""unsafeContexts"": [""loan"", ""rate"", ""promo"", ""discount""], ""safeContexts"": [""역사교육"", ""박물관 안내"", ""추모""]}"
khm-term-year-zero,cambodia,SensitiveTerm,Year Zero,ឆ្នាំសូន្យ,Year Zero,high,"[""Year Zero"", ""제로부터 시작"", ""0년""]","[""cambodia_genocide""]","{""termType"": ""regime_slogan"", ""unsafeContexts"": [""zero_fee"", ""zero_interest"", ""new_start_promo""], ""safeContexts"": [""역사 설명""]}"
khm-term-pol-pot,cambodia,SensitiveTerm,폴 포트,ប៉ុល ពត,Pol Pot,high,"[""Pol Pot"", ""폴 포트""]","[""cambodia_genocide""]","{""termType"": ""dictator_reference"", ""unsafeContexts"": [""joke"", ""promo"", ""nickname""], ""safeContexts"": [""역사교육"", ""보도""]}"
khm-term-ancestor,cambodia,SensitiveTerm,조상·선조,ដូនតា,Ancestor,caution,"[""ancestor"", ""조상"", ""ដូនតា""]","[""cambodia_pchum_ben""]","{""termType"": ""ancestor_memorial"", ""unsafeContexts"": [""discount"", ""ghost_promo"", ""dead_rate""], ""safeContexts"": [""추모"", ""종교행사"", ""가족 안내""]}"
khm-term-ghost,cambodia,SensitiveTerm,영혼·귀신,ខ្មោច,spirit / ghost,caution,"[""ghost"", ""spirit"", ""영혼"", ""귀신""]","[""cambodia_pchum_ben""]","{""termType"": ""religious_afterlife"", ""unsafeContexts"": [""cashback"", ""ghost discount"", ""dead rate""], ""safeContexts"": [""종교 설명"", ""민속 소개""]}"
khm-term-offering,cambodia,SensitiveTerm,공양·제물,បាយបិណ្ឌ,offering,caution,"[""공양"", ""제물"", ""offering"", ""rice balls""]","[""cambodia_pchum_ben""]","{""termType"": ""religious_offering"", ""unsafeContexts"": [""금융혜택"", ""쿠폰"", ""이벤트""], ""safeContexts"": [""종교 설명"", ""공식 행사""]}"
khm-term-king,cambodia,SensitiveTerm,국왕·왕실,ព្រះមហាក្សត្រ,King / Royal family,caution,"[""King"", ""Royal"", ""국왕"", ""왕실"", ""ព្រះមហាក្សត្រ""]","[""cambodia_national_symbols""]","{""termType"": ""monarchy"", ""unsafeContexts"": [""joke"", ""discount"", ""loan_name""], ""safeContexts"": [""공식 존중 표현"", ""역사 설명""]}"
khm-term-buddhism,cambodia,SensitiveTerm,불교·스님,ព្រះពុទ្ធសាសនា,Buddhism / monk,caution,"[""불교"", ""스님"", ""Buddha"", ""monk"", ""ព្រះពុទ្ធសាសនា""]","[""cambodia_national_symbols""]","{""termType"": ""religion"", ""unsafeContexts"": [""cashback"", ""coupon"", ""meme""], ""safeContexts"": [""종교 안내"", ""문화 소개""]}"
vnm-term-april30,vietnam,SensitiveTerm,4월30일·해방일,30/4,April 30 / Liberation Day,caution,"[""30/4"", ""April 30"", ""Giải phóng"", ""Liberation Day"", ""Victory Day""]","[""vietnam_reunification_day""]","{""termType"": ""national_war_date"", ""unsafeContexts"": [""flash sale"", ""political slogan"", ""division joke""], ""safeContexts"": [""공식 기념"", ""문화 안내""]}"
vnm-term-saigon-fall,vietnam,SensitiveTerm,사이공 함락,Sài Gòn thất thủ,Fall of Saigon,high,"[""Fall of Saigon"", ""Saigon falls"", ""사이공 함락""]","[""vietnam_reunification_day""]","{""termType"": ""war_memory"", ""unsafeContexts"": [""loan crash"", ""rate fall"", ""promo""], ""safeContexts"": [""역사교육"", ""보도""]}"
vnm-term-black-april,vietnam,SensitiveTerm,검은 4월,Tháng Tư Đen,Black April,high,"[""Black April"", ""검은 4월"", ""Tháng Tư Đen""]","[""vietnam_reunification_day""]","{""termType"": ""diaspora_mourning"", ""unsafeContexts"": [""discount"", ""event"", ""joke""], ""safeContexts"": [""해외 베트남 커뮤니티 설명"", ""역사 맥락""]}"
vnm-term-ho-chi-minh,vietnam,SensitiveTerm,호치민,Hồ Chí Minh,Ho Chi Minh,caution,"[""Ho Chi Minh"", ""Hồ Chí Minh"", ""호치민"", ""Uncle Ho""]","[""vietnam_national_day""]","{""termType"": ""national_leader"", ""unsafeContexts"": [""joke"", ""mascot"", ""loan_name""], ""safeContexts"": [""공식 존중"", ""역사 설명""]}"
vnm-term-national-day,vietnam,SensitiveTerm,국경일·독립,Quốc khánh,National Day / Independence,caution,"[""Quốc khánh"", ""National Day"", ""Independence Day"", ""국경일""]","[""vietnam_national_day""]","{""termType"": ""national_day"", ""unsafeContexts"": [""cheap deal"", ""mockery""], ""safeContexts"": [""축하"", ""공식 안내""]}"
vnm-term-agent-orange,vietnam,SensitiveTerm,고엽제,Chất độc da cam,Agent Orange,high,"[""Agent Orange"", ""고엽제"", ""Chất độc da cam"", ""da cam""]","[""vietnam_agent_orange""]","{""termType"": ""chemical_war_victim_memory"", ""unsafeContexts"": [""cashback"", ""orange discount"", ""rate bomb""], ""safeContexts"": [""역사교육"", ""피해자 지원""]}"
vnm-term-napalm,vietnam,SensitiveTerm,네이팜,napalm,Napalm,high,"[""napalm"", ""네이팜"", ""폭격""]","[""vietnam_agent_orange""]","{""termType"": ""war_harm"", ""unsafeContexts"": [""혜택 폭격"", ""loan bomb"", ""discount fire""], ""safeContexts"": [""역사교육"", ""보도""]}"
vnm-term-war,vietnam,SensitiveTerm,베트남전,Chiến tranh Việt Nam,Vietnam War,caution,"[""Vietnam War"", ""베트남전"", ""war""]","[""vietnam_reunification_day""]","{""termType"": ""war_memory"", ""unsafeContexts"": [""promo"", ""joke""], ""safeContexts"": [""역사 설명""]}"
vnm-term-tet,vietnam,SensitiveTerm,뗏·설,Tết,Tết,info,"[""Tết"", ""Tet"", ""설""]","[""vietnam_public_holidays""]","{""termType"": ""family_holiday"", ""unsafeContexts"": [""gambling joke"", ""debt joke""], ""safeContexts"": [""가족 혜택"", ""명절 송금 안내""]}"
vnm-term-lucky-money,vietnam,SensitiveTerm,세뱃돈·리시,lì xì,Lucky money,info,"[""lì xì"", ""lucky money"", ""세뱃돈""]","[""vietnam_public_holidays""]","{""termType"": ""holiday_money_custom"", ""unsafeContexts"": [""loan trap"", ""gambling""], ""safeContexts"": [""명절 송금/카드 혜택""]}"
vnm-term-hung-kings,vietnam,SensitiveTerm,흥왕,Hùng Vương,Hung Kings,caution,"[""Hùng Vương"", ""Hung Kings"", ""흥왕""]","[""vietnam_public_holidays""]","{""termType"": ""founding_ancestor"", ""unsafeContexts"": [""discount joke""], ""safeContexts"": [""공식 기념""]}"
vnm-term-ancestor,vietnam,SensitiveTerm,조상,tổ tiên,Ancestor,caution,"[""ancestor"", ""조상"", ""tổ tiên""]","[""vietnam_public_holidays""]","{""termType"": ""ancestor_respect"", ""unsafeContexts"": [""promo joke""], ""safeContexts"": [""추모"", ""가족""]}"
mmr-term-coup,myanmar,SensitiveTerm,쿠데타,အာဏာသိမ်း,Coup,high,"[""coup"", ""아웅산"", ""အာဏာသိမ်း"", ""군부 쿠데타""]","[""myanmar_coup_reuters""]","{""termType"": ""military_coup"", ""unsafeContexts"": [""loan coup"", ""rate seizure"", ""discount revolution""], ""safeContexts"": [""보도"", ""정치 설명""]}"
mmr-term-tatmadaw,myanmar,SensitiveTerm,미얀마 군부·탓마도,တပ်မတော်,Tatmadaw,high,"[""Tatmadaw"", ""တပ်မတော်"", ""군부""]","[""myanmar_coup_reuters""]","{""termType"": ""military_institution"", ""unsafeContexts"": [""promo"", ""mascot"", ""loan""], ""safeContexts"": [""보도"", ""정치 분석""]}"
mmr-term-cdm,myanmar,SensitiveTerm,시민불복종운동,CDM,Civil Disobedience Movement,high,"[""CDM"", ""civil disobedience"", ""시민불복종""]","[""myanmar_coup_reuters""]","{""termType"": ""protest_symbol"", ""unsafeContexts"": [""cashback"", ""discount""], ""safeContexts"": [""정치 설명"", ""뉴스""]}"
mmr-term-aung-san-suu-kyi,myanmar,SensitiveTerm,아웅산 수치,ဒေါ်အောင်ဆန်းစုကြည်,Aung San Suu Kyi,caution,"[""Aung San Suu Kyi"", ""Suu Kyi"", ""아웅산 수치""]","[""myanmar_coup_reuters""]","{""termType"": ""political_figure"", ""unsafeContexts"": [""joke"", ""loan_name""], ""safeContexts"": [""뉴스"", ""정치 분석""]}"
mmr-term-rohingya,myanmar,SensitiveTerm,로힝야,ရိုဟင်ဂျာ,Rohingya,high,"[""Rohingya"", ""로힝야"", ""ရိုဟင်ဂျာ""]","[""myanmar_rohingya""]","{""termType"": ""ethnic_group_sensitive"", ""unsafeContexts"": [""targeted_promo"", ""joke"", ""stereotype""], ""safeContexts"": [""인권 안내"", ""지원 캠페인""]}"
mmr-term-rakhine,myanmar,SensitiveTerm,라카인,ရခိုင်,Rakhine,caution,"[""Rakhine"", ""라카인"", ""ရခိုင်""]","[""myanmar_rohingya""]","{""termType"": ""conflict_region"", ""unsafeContexts"": [""discount joke"", ""ethnic stereotype""], ""safeContexts"": [""지역 정보"", ""인권 설명""]}"
mmr-term-refugee,myanmar,SensitiveTerm,난민,ဒုက္ခသည်,Refugee,high,"[""refugee"", ""난민"", ""ဒုက္ခသည်""]","[""myanmar_rohingya""]","{""termType"": ""displacement_victim"", ""unsafeContexts"": [""loan refugee"", ""fee escape""], ""safeContexts"": [""지원 안내"", ""인권 캠페인""]}"
mmr-term-8888,myanmar,SensitiveTerm,8888,၈၈၈၈,8888 Uprising,high,"[""8888"", ""8-8-88"", ""၈၈၈၈""]","[""myanmar_coup_overview""]","{""termType"": ""democracy_movement_date"", ""unsafeContexts"": [""promo code"", ""coupon"", ""cashback""], ""safeContexts"": [""역사 설명""]}"
mmr-term-crackdown,myanmar,SensitiveTerm,진압,ဖြိုခွင်း,Crackdown,high,"[""crackdown"", ""진압"", ""ဖြိုခွင်း""]","[""myanmar_coup_reuters""]","{""termType"": ""state_violence"", ""unsafeContexts"": [""fee crackdown"", ""rate crackdown""], ""safeContexts"": [""보도"", ""역사 설명""]}"
mmr-term-thingyan,myanmar,SensitiveTerm,띤잔,သင်္ကြန်,Thingyan,info,"[""Thingyan"", ""띤잔"", ""သင်္ကြန်""]","[""myanmar_coup_overview""]","{""termType"": ""new_year_holiday"", ""unsafeContexts"": [""political joke""], ""safeContexts"": [""명절 송금"", ""신년 인사""]}"
mmr-term-water,myanmar,SensitiveTerm,물축제,ရေသဘင်,Water festival,info,"[""water festival"", ""물축제"", ""ရေပက်""]","[""myanmar_coup_overview""]","{""termType"": ""holiday_symbol"", ""unsafeContexts"": [""drowning joke""], ""safeContexts"": [""명절 축하""]}"
mmr-term-buddhism,myanmar,SensitiveTerm,불교,ဗုဒ္ဓဘာသာ,Buddhism,caution,"[""Buddhism"", ""불교"", ""ဗုဒ္ဓဘာသာ""]","[""myanmar_coup_overview""]","{""termType"": ""religion"", ""unsafeContexts"": [""loan mascot"", ""discount""], ""safeContexts"": [""문화 안내""]}"
mmr-term-monk,myanmar,SensitiveTerm,승려,ဘုန်းကြီး,Monk,caution,"[""monk"", ""승려"", ""ဘုန်းကြီး""]","[""myanmar_coup_overview""]","{""termType"": ""religious_person"", ""unsafeContexts"": [""cashback character"", ""joke""], ""safeContexts"": [""종교 행사""]}"
chn-term-national-day,china,SensitiveTerm,국경절,国庆节,National Day,caution,"[""国庆节"", ""National Day"", ""국경절"", ""10/1""]","[""china_national_day""]","{""termType"": ""national_day"", ""unsafeContexts"": [""political joke"", ""map mistake""], ""safeContexts"": [""공식 축하"", ""여행/휴일 안내""]}"
chn-term-golden-week,china,SensitiveTerm,황금연휴,黄金周,Golden Week,info,"[""Golden Week"", ""黄金周"", ""황금연휴""]","[""china_national_day""]","{""termType"": ""holiday_travel"", ""unsafeContexts"": [""political mockery""], ""safeContexts"": [""여행/환전/송금 안내""]}"
chn-term-taiwan,china,SensitiveTerm,대만,台湾,Taiwan,high,"[""Taiwan"", ""台湾"", ""대만"", ""ROC""]","[""china_taiwan_flag_reuters""]","{""termType"": ""sovereignty_sensitive_entity"", ""unsafeContexts"": [""country_list_error"", ""flag_error"", ""independence slogan""], ""safeContexts"": [""정확한 프로토콜"", ""지역 표기 검토""]}"
chn-term-chinese-taipei,china,SensitiveTerm,차이니즈 타이베이,中国台北,Chinese Taipei,caution,"[""Chinese Taipei"", ""中国台北"", ""차이니즈 타이베이""]","[""china_taiwan_flag_reuters""]","{""termType"": ""protocol_name"", ""unsafeContexts"": [""wrong flag"", ""country categorization""], ""safeContexts"": [""스포츠/프로토콜 설명""]}"
chn-term-double-ten,china,SensitiveTerm,쌍십절,双十节,Double Ten Day,high,"[""Double Ten"", ""双十节"", ""10/10"", ""쌍십절""]","[""china_taiwan_flag_reuters""]","{""termType"": ""taiwan_national_day"", ""unsafeContexts"": [""PRC campaign"", ""map/flag""], ""safeContexts"": [""대만 고객 안내에서 정확한 검토""]}"
chn-term-hong-kong,china,SensitiveTerm,홍콩,香港,Hong Kong,caution,"[""Hong Kong"", ""香港"", ""홍콩""]","[""china_tibet_xinjiang_hk_reuters""]","{""termType"": ""autonomy_political_sensitivity"", ""unsafeContexts"": [""independence slogan"", ""protest image""], ""safeContexts"": [""금융센터 안내"", ""지역명""]}"
